,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
09372,Cham,Landkreis,69.4,73.1,79.0,72.2,63.6,63.6,73.5,57.3,54.6,73.2,58.7,51.4,57.8,42.7,28.7,33.2,18.9,20.7,13.0,14.8,13.4,3.1,2.8,3.1,3.6,6.1,4.2,4.3,3.5,3.0,2.4,7.4,12.4,3.9,7.0,0.2,0.3,0.3,3.4,7.4,2.9,4.1,18.0,95.6,83.9,99.9,97.1,40.6,22.9,340.4,109.5,0.0,0.0,0.4,0.0,2870.9,1281.2,25.5,12.3
09373,Neumarkt i.d.OPf.,Landkreis,79.0,80.3,84.0,79.2,73.0,72.1,80.0,61.8,56.9,69.2,58.1,49.3,57.1,45.8,24.5,29.7,20.3,21.2,13.4,15.6,12.8,4.1,4.1,4.9,5.2,8.9,6.4,7.7,4.6,3.6,3.2,7.5,12.9,3.7,7.8,0.3,0.5,0.5,3.0,5.7,2.9,4.7,12.0,95.2,89.9,97.1,95.7,101.8,72.8,0.0,0.0,0.0,0.0,0.0,0.0,2084.9,926.2,47.4,25.4
09374,Neustadt a.d.Waldnaab,Landkreis,79.2,82.2,83.9,78.1,72.6,71.1,78.6,51.1,47.0,61.2,50.2,43.6,51.8,42.6,37.6,42.9,30.5,30.8,20.8,22.9,19.6,2.7,2.4,3.2,3.6,6.5,4.2,4.6,3.6,3.1,2.8,6.2,11.5,3.2,6.1,0.3,0.5,0.4,3.4,7.1,3.1,4.5,13.9,92.5,71.4,100.5,95.9,85.4,52.4,454.1,120.8,0.0,0.0,0.0,0.0,2750.4,1205.9,87.5,52.3
09375,Regensburg,Landkreis,76.9,79.2,82.6,77.9,71.5,70.4,79.7,53.9,50.4,63.8,51.6,45.7,52.3,41.0,30.2,34.8,24.1,25.1,16.9,18.2,14.2,4.4,4.1,5.9,6.3,8.2,6.6,7.4,4.7,3.8,3.4,8.6,13.6,4.1,8.2,0.4,0.5,0.5,3.4,6.2,3.1,4.8,14.4,96.8,89.1,99.6,97.4,41.7,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.3,1002.6,12.3,3.2
09376,Schwandorf,Landkreis,75.6,77.6,79.9,74.3,67.6,65.5,75.5,49.6,46.1,62.2,48.8,43.6,52.0,40.4,38.2,43.0,29.1,31.1,21.2,23.3,18.6,3.4,2.8,3.6,4.0,6.0,4.3,4.7,3.1,2.7,2.6,6.6,11.0,2.9,6.2,0.3,0.5,0.5,4.0,8.4,3.5,5.0,16.8,90.9,66.4,99.9,96.7,53.8,25.4,375.9,108.5,0.0,0.0,0.0,0.0,2930.6,1304.6,39.8,20.9
09377,Tirschenreuth,Landkreis,78.4,81.5,82.3,77.4,71.7,70.5,78.3,54.7,50.0,63.8,53.8,47.9,56.7,46.5,34.0,39.6,27.5,27.9,18.0,20.2,17.7,2.8,2.4,3.3,3.4,6.0,3.9,4.7,3.9,3.3,3.0,6.3,11.8,3.3,6.3,0.2,0.4,0.3,3.4,7.2,3.0,4.3,12.3,90.6,64.6,100.3,96.8,176.9,110.3,472.2,182.1,0.0,0.0,0.0,0.0,3115.1,1360.3,30.0,17.2
09461,"Bamberg, Stadt",krsfr. Stadt,74.2,76.3,75.4,72.9,68.7,65.5,75.6,48.4,45.7,53.6,44.1,39.8,41.5,31.2,29.1,31.6,26.3,25.9,16.4,22.1,16.5,8.6,9.3,11.2,11.2,14.5,13.2,14.5,7.7,5.8,4.8,9.9,13.4,5.3,10.7,0.7,0.8,1.0,4.3,7.8,5.5,9.0,11.4,102.4,104.9,100.4,104.6,121.7,51.9,0.0,0.0,0.0,0.0,135.0,99.9,3309.0,1539.4,1428.7,431.2
09462,"Bayreuth, Stadt",krsfr. Stadt,74.5,76.4,76.2,72.5,66.5,65.6,72.8,42.7,41.5,51.3,42.1,38.5,44.1,36.0,36.5,38.1,31.2,30.9,19.7,24.9,18.5,7.3,6.9,8.5,8.7,12.2,9.3,11.1,7.7,6.6,5.8,11.0,16.1,6.7,11.8,0.6,0.8,0.9,3.7,6.3,3.8,7.3,9.6,96.8,86.0,100.0,99.5,173.1,100.7,0.7,0.0,0.0,0.0,749.4,390.1,3927.3,1724.5,1717.7,494.7
09463,"Coburg, Stadt",krsfr. Stadt,76.0,77.0,76.8,73.2,68.0,65.9,73.5,44.5,41.2,46.2,40.1,37.8,40.1,33.2,38.5,42.1,37.6,34.2,23.4,28.8,21.2,6.0,6.0,7.5,8.1,11.4,9.4,10.6,7.0,5.1,5.8,9.7,12.9,5.3,10.5,0.7,0.9,0.9,4.2,7.7,5.2,8.1,10.7,95.4,82.1,100.5,96.8,132.5,85.8,0.0,0.0,0.0,0.0,2.8,1.1,4233.4,1917.7,206.9,99.9
09464,"Hof, Stadt",krsfr. Stadt,72.9,74.1,74.5,71.2,65.6,62.5,69.8,47.7,41.7,53.5,43.0,40.0,46.0,36.4,38.0,42.6,32.5,31.9,21.6,25.1,20.0,4.1,4.0,5.2,5.7,7.9,6.2,7.0,4.8,4.0,4.5,9.6,12.8,4.2,9.3,0.5,1.0,0.8,4.6,9.2,5.4,7.1,13.9,93.5,71.7,100.8,99.5,133.1,105.3,92.8,56.3,0.0,0.0,0.0,0.0,4300.6,1965.2,76.8,58.3
09471,Bamberg,Landkreis,78.7,80.7,82.8,79.7,74.1,71.3,80.8,57.1,52.9,66.4,54.7,49.1,54.1,42.7,26.8,31.2,21.7,21.6,13.8,17.9,15.1,4.9,4.3,4.9,5.2,7.2,5.8,6.2,5.0,3.9,3.8,8.3,12.9,4.0,8.6,0.4,0.5,0.5,3.4,6.6,3.6,4.9,15.5,96.4,87.5,100.3,95.8,61.5,34.8,0.0,0.0,0.0,0.0,0.0,0.0,2307.9,1042.3,17.1,2.7
09472,Bayreuth,Landkreis,77.8,80.3,83.0,79.0,73.0,71.8,79.3,49.8,46.4,61.1,50.6,46.2,52.2,45.0,35.7,39.6,28.2,28.1,19.5,23.5,19.1,4.3,3.8,4.4,4.7,8.0,5.4,6.0,4.6,4.1,3.8,8.1,12.6,3.8,7.6,0.3,0.5,0.4,3.4,5.7,2.9,4.6,10.9,92.3,71.7,99.5,96.9,93.0,50.9,1.8,0.0,0.0,0.0,0.0,0.0,2721.3,1162.4,15.5,9.8
09473,Coburg,Landkreis,80.6,81.7,82.3,78.6,71.5,70.2,78.0,45.5,40.6,50.9,44.2,41.6,45.9,39.1,41.0,46.9,36.9,33.8,24.0,28.1,22.2,4.7,3.6,4.8,5.3,8.0,5.8,6.9,5.0,3.7,4.5,8.3,11.9,4.0,8.4,0.4,0.6,0.7,4.0,7.3,4.2,5.4,12.0,91.6,68.3,100.2,96.4,39.0,19.1,15.3,0.0,0.0,0.0,0.0,0.0,3290.0,1404.2,43.0,14.4
09474,Forchheim,Landkreis,79.6,81.7,83.5,80.3,74.7,73.4,81.3,54.8,51.1,62.1,51.9,46.2,50.3,42.4,27.3,32.4,24.2,24.3,15.8,19.4,15.4,5.4,5.2,6.5,6.9,9.7,7.9,8.8,6.2,4.5,4.0,8.7,13.8,4.9,8.8,0.4,0.5,0.5,3.0,5.5,3.5,5.6,11.8,97.6,92.3,99.8,97.5,40.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,2352.1,1066.4,13.9,10.4
09475,Hof,Landkreis,78.8,80.6,81.3,77.0,71.0,70.1,77.8,48.0,41.4,54.3,46.3,43.9,48.6,41.2,40.0,45.3,34.1,31.7,23.0,25.7,21.9,3.4,3.1,4.2,4.7,6.7,5.1,5.1,3.9,3.4,3.9,8.3,11.1,3.7,7.6,0.4,0.7,0.7,4.1,7.5,4.5,5.1,12.4,91.8,68.0,100.5,97.3,100.2,68.0,270.9,108.5,0.0,0.0,0.0,0.0,3014.0,1229.3,77.7,44.9
09476,Kronach,Landkreis,81.0,82.0,81.7,76.8,70.4,69.0,76.5,50.7,46.0,57.3,49.8,47.5,51.4,43.7,40.0,45.0,34.1,31.3,22.8,26.9,23.4,2.9,2.3,3.1,3.4,5.1,3.6,4.4,3.1,2.5,3.1,7.3,10.9,3.5,6.7,0.3,0.4,0.6,3.2,6.5,3.1,4.6,11.8,94.7,77.5,101.3,96.8,64.7,51.3,422.2,148.4,0.0,0.0,0.0,0.0,3364.7,1489.3,62.8,20.7
09477,Kulmbach,Landkreis,78.6,79.6,81.0,77.4,72.3,69.3,77.3,44.9,41.6,54.9,46.3,47.1,49.0,42.3,42.1,45.6,33.5,32.3,20.7,25.5,20.3,4.2,3.6,4.6,4.8,7.4,5.3,6.3,3.7,3.5,3.9,7.7,10.7,3.6,7.6,0.4,0.6,0.6,4.3,6.7,4.0,5.0,11.4,93.6,76.8,99.5,96.7,95.4,86.1,141.1,15.2,0.0,0.0,3.3,1.6,3564.3,1517.2,42.5,20.6
09478,Lichtenfels,Landkreis,78.6,80.1,81.5,76.2,71.3,68.3,75.6,53.7,50.5,63.4,55.0,51.9,54.3,45.1,32.8,37.6,26.4,25.3,16.7,20.9,17.6,5.0,3.7,4.0,4.1,6.1,4.7,5.5,4.2,3.2,3.4,7.3,11.4,3.6,7.1,0.2,0.4,0.6,3.0,5.6,3.2,4.5,13.2,94.7,80.6,99.8,96.6,33.3,20.4,24.2,0.3,0.0,0.0,0.0,0.0,3385.4,1564.7,43.0,18.3
09479,Wunsiedel i.Fichtelgebirge,Landkreis,77.4,79.4,78.7,73.6,67.8,66.6,74.5,44.2,38.9,51.7,41.7,39.2,45.2,36.8,43.8,47.7,37.3,35.2,25.3,28.9,23.8,3.4,3.3,4.3,5.2,6.9,5.3,5.3,3.9,3.3,3.6,7.5,10.7,3.6,7.3,0.4,0.7,0.7,4.6,9.4,4.8,5.8,13.8,90.6,63.7,100.5,97.2,158.8,98.3,534.4,242.3,0.0,0.0,0.0,0.0,3798.9,1574.6,73.5,22.7
09561,"Ansbach, Stadt",krsfr. Stadt,75.3,76.1,74.5,71.8,64.0,61.6,71.0,46.3,43.9,48.3,38.6,34.3,40.2,32.4,35.9,39.3,34.8,34.8,22.4,27.2,18.6,6.0,6.6,8.8,9.5,12.3,10.1,10.2,5.5,4.0,4.1,8.2,12.6,4.2,7.9,0.5,0.8,0.9,4.2,9.3,5.3,10.1,13.2,99.3,88.4,102.2,102.8,56.9,36.4,0.0,0.0,0.0,0.0,0.0,0.0,3981.1,1693.7,82.1,51.6
09562,"Erlangen, Stadt",krsfr. Stadt,80.4,81.4,81.3,78.0,75.2,73.7,80.1,39.5,37.8,42.4,36.8,31.9,36.8,31.7,34.2,39.6,35.5,33.8,21.6,25.6,17.8,10.6,10.2,13.3,13.1,16.0,14.1,16.2,10.3,7.2,5.7,9.8,14.5,6.0,10.6,0.9,1.1,1.1,3.7,7.3,5.3,9.3,8.0,103.1,113.4,100.3,101.0,44.1,14.1,0.0,0.0,0.0,0.0,1961.1,1057.8,2480.4,1123.1,2748.8,1271.5
09563,"Fürth, Stadt",krsfr. Stadt,72.8,74.9,75.7,71.5,66.6,64.7,73.1,39.9,37.2,44.3,36.4,30.0,35.9,28.7,39.2,45.3,39.0,35.8,23.9,28.6,20.9,7.2,6.2,8.4,9.5,12.6,10.6,11.9,6.7,4.6,4.5,8.3,13.4,4.8,9.1,0.9,0.9,1.0,5.3,10.5,7.0,10.8,11.9,101.2,100.8,102.2,99.6,49.5,37.1,0.0,0.0,0.0,0.0,4.1,2.8,4204.3,1813.8,160.7,48.0
09564,"Nürnberg, Stadt",krsfr. Stadt,76.6,78.2,77.5,74.4,68.6,66.3,73.7,41.5,38.6,44.9,37.7,31.8,37.1,28.9,38.5,43.3,37.6,34.6,23.6,27.7,19.5,7.3,7.0,9.2,10.1,13.0,10.9,12.4,6.3,4.4,4.5,8.2,12.8,4.9,9.6,1.1,1.2,1.2,5.1,9.5,6.6,10.6,12.0,104.3,116.1,99.2,106.2,27.8,18.5,0.0,0.0,0.0,0.0,3.4,2.2,4638.1,1983.8,834.9,472.4
09565,"Schwabach, Stadt",krsfr. Stadt,76.3,78.5,79.4,76.4,70.4,70.2,76.3,44.6,41.1,49.4,41.0,35.6,42.4,33.7,35.6,42.4,34.5,32.7,22.5,26.3,19.3,7.1,5.6,8.5,8.7,11.4,9.5,11.2,7.2,5.3,4.7,9.2,13.9,4.8,9.9,0.6,0.7,0.6,4.3,8.5,4.5,7.2,11.9,100.1,96.3,101.7,99.8,126.1,68.3,0.0,0.0,0.0,0.0,0.0,0.0,2695.9,1094.3,20.5,16.7
09571,Ansbach,Landkreis,77.9,79.1,80.4,77.0,70.8,68.9,77.3,51.4,47.2,57.8,48.3,40.7,48.1,40.9,29.8,36.1,27.9,27.2,18.0,20.6,16.4,5.7,5.4,6.6,7.3,10.0,8.4,8.5,5.7,4.5,4.2,8.0,14.5,5.1,7.7,0.4,0.6,0.5,3.6,6.9,3.8,6.5,11.7,93.7,74.7,100.1,98.2,67.9,45.4,0.0,0.0,0.0,0.0,0.1,0.0,2522.8,1121.4,18.6,7.4
09572,Erlangen-Höchstadt,Landkreis,81.1,83.1,84.9,81.8,76.6,75.6,82.6,46.5,43.1,51.9,44.8,39.1,45.2,38.4,32.6,39.0,31.6,30.4,20.5,23.4,17.1,6.9,6.5,8.8,8.9,11.5,9.5,11.5,8.5,6.0,5.1,9.3,15.1,5.2,9.8,0.5,0.7,0.6,3.0,6.0,3.7,6.2,10.5,99.6,100.9,100.3,97.2,42.3,26.2,0.0,0.0,0.0,0.0,0.0,0.0,1551.7,651.4,306.5,164.2
09573,Fürth,Landkreis,81.4,83.4,84.6,81.3,75.9,74.1,80.9,44.1,40.0,49.4,41.6,35.5,43.3,35.9,36.5,43.1,34.7,33.0,21.9,25.6,18.8,5.9,5.5,7.5,7.7,11.1,8.6,10.4,7.7,5.3,5.2,9.2,14.8,4.8,9.3,0.6,0.7,0.6,3.9,7.6,4.4,6.8,12.1,97.0,89.0,99.9,97.8,55.4,39.5,0.0,0.0,0.0,0.0,0.0,0.0,2133.1,896.7,49.7,15.6
09574,Nürnberger Land,Landkreis,80.4,82.6,83.8,80.9,75.5,74.4,81.8,43.8,40.5,49.4,42.5,36.0,43.2,35.7,37.1,42.7,34.6,33.9,23.0,26.0,19.3,6.6,6.0,8.1,8.1,12.3,9.3,10.3,7.0,5.2,4.8,8.1,13.5,4.4,9.0,0.5,0.6,0.7,3.6,6.7,3.8,6.8,11.4,98.1,95.9,99.6,96.6,41.6,19.1,0.0,0.0,0.0,0.0,0.0,0.0,1892.5,774.0,20.0,10.2
09575,Neustadt a.d.Aisch-Bad Windsheim,Landkreis,76.3,78.6,80.4,76.6,70.9,70.1,77.5,51.3,47.2,58.3,48.8,41.5,49.1,41.2,29.8,35.8,27.9,27.5,17.8,21.2,16.6,5.4,5.1,6.3,7.0,10.6,8.3,8.9,6.6,5.0,4.4,8.3,13.7,4.5,8.1,0.4,0.5,0.6,3.5,6.7,3.7,6.0,10.9,93.3,74.9,99.6,97.5,89.8,58.7,0.0,0.0,0.0,0.0,0.0,0.0,1997.2,691.1,40.3,20.9
09576,Roth,Landkreis,80.6,82.6,84.4,80.9,75.0,73.6,80.2,51.2,47.2,56.8,49.0,41.2,48.6,40.6,31.8,38.0,29.4,29.6,19.4,22.6,17.3,5.5,5.0,6.6,6.5,10.5,7.4,9.1,6.0,4.4,4.4,7.6,13.9,4.5,8.2,0.4,0.6,0.6,3.4,6.6,3.8,5.6,11.7,95.2,81.9,99.8,97.4,70.5,31.6,0.0,0.0,0.0,0.0,0.0,0.0,2304.9,1040.1,36.5,28.3
09577,Weißenburg-Gunzenhausen,Landkreis,76.6,78.5,79.9,76.8,69.9,68.2,74.4,50.0,45.2,56.6,48.0,41.3,49.6,42.5,33.6,40.2,30.8,30.2,20.7,23.4,17.8,5.0,4.8,5.9,6.1,9.8,7.6,8.8,5.5,4.0,3.7,7.3,12.4,3.9,6.9,0.3,0.5,0.5,3.1,6.9,3.5,5.4,11.3,95.0,76.0,102.5,97.3,50.9,29.6,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,1187.3,6.9,3.5
09661,"Aschaffenburg, Stadt",krsfr. Stadt,73.1,75.1,75.4,71.7,66.3,64.8,72.6,46.9,45.1,50.0,43.2,36.6,44.0,33.3,31.8,35.7,30.7,28.0,18.1,23.3,17.7,8.2,7.0,9.1,9.5,13.2,10.6,11.3,6.8,5.1,5.9,10.8,15.4,5.7,11.7,0.8,0.9,1.0,4.2,8.2,4.4,8.1,12.0,100.6,103.8,100.3,98.5,72.5,39.6,0.0,0.0,0.0,0.0,1.3,1.3,4548.3,1954.5,253.6,174.5
09662,"Schweinfurt, Stadt",krsfr. Stadt,75.6,77.6,74.7,69.8,63.1,59.4,68.5,46.0,41.4,48.2,39.8,37.1,43.0,31.7,37.4,41.7,35.9,32.9,21.7,26.1,20.0,5.4,4.6,6.4,6.8,9.0,7.5,7.1,5.5,4.3,4.9,8.0,11.3,4.4,9.0,0.8,0.8,1.0,7.5,13.8,7.9,10.8,15.6,96.8,91.3,99.7,95.4,81.2,38.1,0.0,0.0,0.0,0.0,0.0,0.0,5092.5,2150.9,252.4,119.7
09663,"Würzburg, Stadt",krsfr. Stadt,77.5,78.8,78.5,75.4,70.5,68.6,76.9,44.5,41.5,45.6,38.5,35.2,39.9,31.7,31.8,34.9,30.6,28.5,18.4,22.8,16.8,9.9,10.2,14.0,14.4,17.8,14.9,16.6,7.6,6.1,5.9,10.5,14.2,6.1,11.4,0.8,0.8,0.9,4.1,6.6,4.9,9.3,8.0,103.0,107.3,100.2,105.8,63.2,42.9,0.0,0.0,0.0,0.0,1204.4,541.5,3552.4,1612.9,1527.4,753.1
09671,Aschaffenburg,Landkreis,79.7,81.5,82.9,80.1,74.4,72.3,80.3,50.8,47.2,54.7,48.3,41.2,49.0,40.0,30.4,35.4,29.2,26.2,17.3,21.5,17.5,7.1,5.8,6.9,7.2,10.7,7.9,8.7,6.1,5.2,5.7,10.4,15.8,5.3,10.6,0.5,0.7,0.7,3.3,6.2,3.4,5.4,11.5,99.1,98.5,100.2,97.2,27.3,15.4,0.0,0.0,0.0,0.0,0.0,0.0,2474.4,1077.5,168.6,43.1
09672,Bad Kissingen,Landkreis,78.7,81.2,81.6,77.7,72.7,69.9,78.1,59.1,53.3,64.0,53.7,47.8,54.9,45.2,24.7,29.5,23.1,21.2,14.1,17.3,15.2,5.1,4.8,5.2,5.8,8.3,6.8,7.0,6.1,4.8,4.5,9.2,13.9,4.6,9.2,0.3,0.5,0.5,4.8,8.5,4.4,5.8,11.4,94.3,81.0,98.6,97.2,56.9,42.3,0.0,0.0,0.0,0.0,0.0,0.0,3394.0,1432.4,26.8,16.1
09673,Rhön-Grabfeld,Landkreis,79.6,80.8,81.8,78.1,72.6,70.2,77.7,61.5,55.7,66.0,55.5,49.9,56.0,46.7,22.9,28.0,21.2,19.9,13.0,16.4,14.2,5.8,4.9,5.4,5.6,8.0,6.5,7.0,5.5,4.7,4.5,9.3,14.3,4.9,9.3,0.5,0.6,0.6,4.8,8.0,4.6,6.1,10.4,92.2,71.3,99.9,96.5,104.7,62.9,0.0,0.0,0.0,0.0,0.0,0.0,2955.6,1178.0,45.5,21.4
09674,Haßberge,Landkreis,79.9,81.3,82.4,79.0,73.6,71.5,80.2,52.5,48.2,61.5,50.2,44.2,50.6,42.0,31.6,35.8,26.0,24.4,17.4,20.9,18.0,4.8,4.3,4.8,5.3,7.0,5.9,6.0,6.1,5.0,4.3,9.1,13.4,4.9,8.1,0.3,0.4,0.5,5.1,9.2,4.6,5.9,12.9,94.5,79.9,100.2,96.0,50.9,32.0,0.0,0.0,0.0,0.0,1.1,0.7,3117.4,1321.1,9.0,5.4
09675,Kitzingen,Landkreis,76.6,80.2,81.1,77.8,71.9,70.5,78.6,52.2,47.8,56.4,49.0,42.8,51.0,41.4,29.9,34.6,28.3,26.0,17.1,20.1,16.7,5.3,5.0,6.4,6.7,9.5,7.1,8.4,6.1,5.1,5.2,9.3,14.4,4.4,9.3,0.4,0.4,0.5,3.8,6.9,3.9,5.4,10.9,94.6,81.1,99.4,96.9,97.5,50.5,0.0,0.0,0.0,0.0,0.0,0.0,2419.4,1087.4,22.8,15.7
09676,Miltenberg,Landkreis,80.0,81.8,82.3,78.2,72.0,70.4,78.6,51.0,48.2,57.0,50.2,43.0,49.6,40.7,31.7,35.3,29.3,27.0,17.5,21.7,17.8,6.2,5.4,5.8,6.4,9.5,6.7,7.8,5.7,5.0,4.8,9.1,15.4,5.0,9.7,0.4,0.6,0.6,2.9,6.3,3.5,5.8,11.3,98.2,94.6,99.8,97.9,50.8,29.8,0.0,0.0,0.0,0.0,0.0,0.0,2810.9,1105.1,45.7,16.8
09677,Main-Spessart,Landkreis,79.7,81.8,82.8,79.4,73.8,72.6,80.3,53.2,48.0,57.5,50.1,44.4,49.3,42.9,31.2,36.1,29.1,26.7,18.1,21.4,19.2,6.0,5.5,6.0,6.8,10.2,7.3,7.5,4.7,4.0,4.3,8.0,12.7,4.1,8.0,0.3,0.4,0.4,3.4,6.5,3.3,5.2,10.4,97.7,85.6,101.0,101.7,50.7,28.9,0.0,0.0,0.0,0.0,0.0,0.0,2179.7,944.3,60.7,30.7
09678,Schweinfurt,Landkreis,80.4,83.1,84.0,81.0,76.1,73.8,81.1,57.1,50.8,59.7,50.5,45.6,53.6,44.2,26.4,31.7,25.3,23.2,15.6,19.1,15.9,6.0,5.5,6.2,6.6,8.9,6.9,7.1,5.1,4.1,4.7,8.4,12.6,4.0,8.6,0.4,0.4,0.5,5.6,9.3,4.7,6.3,12.0,94.9,81.8,99.3,97.4,23.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,2468.7,1087.6,20.7,10.8
09679,Würzburg,Landkreis,83.0,84.8,85.6,82.5,77.9,76.4,83.3,50.3,45.0,53.2,45.9,41.3,48.4,41.1,32.1,36.8,29.5,27.5,18.9,22.3,18.3,6.9,6.7,8.5,8.9,12.1,9.4,10.5,5.6,4.6,5.0,9.0,13.5,4.5,9.6,0.4,0.5,0.6,3.7,6.0,3.4,5.6,9.1,98.6,98.2,99.6,96.9,59.9,36.7,0.0,0.0,0.0,0.0,0.0,0.0,2086.1,942.9,67.1,25.0
09761,"Augsburg, Stadt",krsfr. Stadt,73.3,75.5,76.5,72.1,64.8,63.1,71.8,46.3,43.1,52.0,43.8,37.9,42.8,31.2,31.8,37.1,31.3,28.5,19.0,22.6,16.1,8.1,7.3,9.2,10.9,13.0,11.0,12.8,5.6,4.6,4.1,8.8,12.8,4.6,9.9,0.8,0.9,0.9,4.2,8.0,5.8,9.3,13.6,104.0,105.8,101.0,109.1,41.0,22.4,0.0,0.0,0.0,0.0,67.9,25.4,4676.0,2117.1,392.6,212.2
09762,"Kaufbeuren, Stadt",krsfr. Stadt,74.3,75.3,75.6,71.6,63.7,62.0,71.2,53.7,51.9,61.1,51.4,44.1,51.1,36.3,26.5,29.2,22.9,22.6,13.6,17.5,13.8,6.1,5.2,6.7,6.9,9.6,8.1,9.8,6.7,5.5,5.7,10.6,16.9,4.9,11.2,0.6,0.5,0.7,3.8,7.5,4.4,8.2,14.0,97.1,90.4,99.5,97.9,94.8,47.8,0.0,0.0,0.0,0.0,0.0,0.0,4818.2,2251.9,200.3,53.2
09763,"Kempten (Allgäu), Stadt",krsfr. Stadt,73.5,74.9,75.3,71.2,64.6,61.2,71.5,46.8,46.0,56.6,47.4,40.0,46.5,34.0,30.3,33.3,26.7,25.2,15.5,19.8,14.3,7.1,5.8,7.2,7.8,11.0,9.1,11.3,7.9,6.0,5.7,10.8,16.4,6.0,11.7,0.5,0.7,0.7,3.8,7.3,5.0,7.5,13.4,99.2,98.2,99.5,99.4,53.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,3746.0,1781.6,252.5,114.8
09764,"Memmingen, Stadt",krsfr. Stadt,75.2,76.2,77.2,73.1,66.2,63.3,72.7,47.3,45.2,57.5,49.1,41.0,48.1,35.4,32.3,34.8,26.4,24.4,16.5,20.5,16.0,5.9,5.7,7.5,7.7,9.8,7.5,8.9,6.6,5.6,4.7,10.2,16.8,4.9,11.0,0.4,0.5,0.8,3.2,6.6,3.7,6.2,15.3,93.5,86.2,93.8,99.2,96.1,50.9,0.0,0.0,0.0,0.0,0.0,0.0,3766.7,1533.9,92.0,44.0
09771,Aichach-Friedberg,Landkreis,76.9,79.4,83.6,80.5,73.6,72.0,80.4,55.2,52.7,65.4,55.7,48.1,56.1,43.2,24.0,28.6,20.8,19.7,13.0,15.5,11.7,6.7,5.4,6.9,7.4,9.1,6.9,8.3,6.3,5.0,4.1,9.7,15.5,4.6,10.4,0.4,0.6,0.5,2.7,4.9,2.8,4.4,14.3,94.8,102.3,92.6,93.6,14.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2109.1,928.2,7.5,4.5
09772,Augsburg,Landkreis,76.9,79.4,82.1,79.1,71.6,70.8,78.5,52.9,49.7,61.2,52.0,45.2,52.9,40.6,27.1,31.9,24.5,22.7,14.8,17.7,13.1,6.5,5.5,6.8,7.3,9.4,7.2,8.8,6.6,5.5,4.6,10.4,15.8,4.7,10.3,0.4,0.6,0.5,3.1,5.7,3.5,5.3,13.8,98.8,97.9,99.8,97.4,16.9,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2223.9,986.3,91.4,48.1
09773,Dillingen a.d.Donau,Landkreis,73.2,76.7,79.0,76.2,67.7,66.4,75.1,56.3,52.3,65.5,55.3,47.3,53.9,40.2,24.9,29.3,22.4,21.3,13.2,16.4,13.4,4.8,4.2,4.5,5.0,7.5,5.8,6.7,6.2,5.0,4.1,9.7,16.2,5.2,10.0,0.3,0.4,0.4,3.0,6.0,3.2,4.6,16.6,91.8,73.3,97.2,98.0,77.8,49.8,0.0,0.0,0.0,0.0,0.0,0.0,2414.3,1019.6,13.9,6.7
09774,Günzburg,Landkreis,73.0,76.0,78.5,74.7,67.5,65.4,73.9,56.9,52.9,64.7,55.5,48.2,55.2,41.5,24.9,29.1,23.0,21.3,13.5,16.5,12.8,4.9,3.8,4.6,5.1,7.1,5.8,7.0,5.7,4.6,4.2,9.4,15.0,4.3,9.7,0.4,0.5,0.5,3.2,6.0,3.2,4.8,16.0,94.7,79.5,99.8,97.8,41.3,29.3,0.0,0.0,0.0,0.0,1.3,0.9,2732.6,1154.8,16.9,10.4
09775,Neu-Ulm,Landkreis,75.7,79.2,79.6,76.6,69.9,68.5,76.0,47.7,44.5,54.7,46.2,40.2,49.1,37.5,31.2,35.1,29.7,27.2,16.8,20.7,15.3,6.6,6.1,7.0,7.7,10.4,7.4,9.6,8.0,6.2,5.2,10.7,16.7,5.0,10.9,0.5,0.6,0.7,3.4,6.9,4.3,5.7,14.2,100.5,95.4,103.9,97.6,31.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,2935.0,1245.7,42.7,21.9
